"","ID","IND_EFF"
"1",101,-0.391293421061722
"2",102,-1.15699998495772
"3",103,-1.38780509516941
"4",104,-0.56070647309371
"5",105,-0.0220368471012514
"6",106,-0.850211787573693
"7",107,-0.834099564007591
"8",108,-1.04293080019203
"9",109,-0.963259284658074
"10",110,-0.690514621012308
"11",111,-0.659794234726735
"12",112,-0.753164171844437
"13",113,-1.93125475223628
"14",114,-0.815601244203665
"15",115,-0.450545639841982
"16",116,-0.35732288017095
"17",117,0.612156817280002
"18",118,-0.940326536164
"19",119,-0.948024087043744
"20",120,-0.564063460518262
"21",121,-0.886790032758833
"22",122,-0.686690987192466
"23",123,-0.701252750631089
"24",124,-0.935158059724109
"25",125,-0.524768056306513
"26",126,-0.520728097171343
"27",127,-1.16085275081293
"28",128,-0.17714528707746
"29",129,-0.708507829626787
"30",130,-1.29195161505213
"31",131,-0.310221043173118
"32",132,-0.47789657940195
"33",133,-0.765388285359754
"34",134,-0.991318919121691
"35",135,-2.24030693840467
"36",136,-1.14914048656756
"37",201,-0.627192987751993
"38",204,-0.0616802609549066
"39",301,-0.816137534070781
"40",302,-0.823801545962438
"41",303,-0.863876352483114
"42",304,-0.723206776706916
"43",305,-0.914606187164373
"44",306,-0.600979747222559
"45",307,-1.68590284019027
"46",308,-0.612929700794541
"47",309,-0.688236925439867
"48",310,-0.869806289323165
"49",311,-0.167212180125239
"50",312,-0.200041908660264
"51",313,-0.737639514445411
"52",314,-1.02288976586103
"53",315,-0.599267214353882
"54",316,-0.555951946863803
"55",317,-0.410452858144769
"56",318,-3.47063164494937
"57",319,-0.594260799602369
"58",320,-0.441952483290413
"59",321,-0.925336444141332
"60",322,-1.10310230336252
"61",323,-1.26153489934845
"62",324,-0.844962027909579
"63",325,-0.0738286864705562
"64",327,-0.378481979975045
"65",328,-1.04431431934348
"66",329,-0.933573331839888
"67",330,-0.966266383539366
"68",331,-1.71597891372705
"69",332,-0.92767955736824
"70",333,-0.844765948035552
"71",334,-0.270186845586814
"72",335,-0.727227131485848
"73",336,-0.517276663123385
"74",337,-0.764115201045051
"75",338,-0.938129308311554
"76",339,-0.676168062505392
"77",340,-0.836761191253771
"78",341,-0.540693794304882
"79",342,-1.47744206373438
"80",343,-0.0402772373372957
"81",344,-1.12940281993964
"82",345,-0.99229903901396
"83",346,-0.804550549150874
"84",347,-1.14836572960884
"85",348,-0.101515744937928
"86",349,-1.06570920454823
"87",350,-0.420992739139088
"88",351,-0.80676050585683
"89",401,-0.556824715657879
"90",402,-0.554456796725215
"91",403,-0.334904289372923
"92",405,-0.83001263984624
"93",406,-0.601867294848995
"94",408,-0.979107357113296
"95",409,0.184228618218182
"96",413,-1.45059608626678
"97",414,-0.851933861288168
"98",416,-0.597996330065642
"99",417,-0.584226706752764
"100",418,-0.251409997324999
"101",419,0.269316695777244
"102",420,-0.300846727986791
"103",421,-1.07008394011143
"104",422,-0.812697839116285
"105",423,-0.888797803848109
"106",424,-0.185214462716451
"107",425,-0.837809345303058
"108",426,-0.58467232891294
"109",501,-1.03150206026369
"110",502,-0.991440829593808
"111",503,-0.208732265080388
"112",504,-0.363337483366861
"113",505,-1.06371156235015
"114",506,-0.597355807273579
"115",507,-0.586063802318388
"116",508,-0.560648501396034
"117",509,-0.746886259832396
"118",510,-0.615713427206996
"119",511,0.338134195890023
"120",512,-0.145620907605533
"121",513,-1.10938856325745
"122",514,-0.521295082557253
"123",515,-0.732911635340518
"124",516,-1.31038485402651
"125",517,-0.634838295050028
"126",518,-0.356061965963899
"127",519,-1.58072106752432
"128",520,-0.378860862097781
"129",521,0.10252276977838
