"","X2020.Node_9","X2020.Node_8","X2020.Node_5","X2020.Node_4","X2020.Node_6"
"cate",-0.55641775927038,-0.756163272293976,-0.860365286253883,-1.2222560609041,-0.65858815900783
"var.cate",0.00158652442844935,0.00308599573337401,0.0066251897010297,0.0189210015257547,0.00841151120827792
"cate.lower.2.5%",-0.638919214993775,-0.840246899282304,-0.994109209852424,-1.48567456937826,-0.835262087808901
"cate.upper.97.5%",-0.492982056696226,-0.661730192695328,-0.74843487101242,-0.972722728977094,-0.460157166491274
