id,year,std_math_score,l2std_math_score,l1std_math_score,l1std_ita_score,l3perc_math_score,l1perc_math_score,l2std_ita_score,l3std_math_score,l3std_ita_score,l3unempl_rate_chg,dummy_Calabria,turnout_ref_2016,avg_temperature_min,l3log_tot_income_chg,l1sd_math_score_chg,share_hsgraduates_2564,l1perc_ita_score_chg,l2perc_ita_score,l2perc_math_score,l2sd_math_score_chg,l3log_tot_income
1931,2017,.6250177,1.6773192,3.1667874,.43077204,41.137577,70.002922,-.10040998,.17751871,-3.3936241,1.029,0,.57581729,13.083965,-.0070228577,-.19125901,52.675999,-2.6521757,61.635914,64.593552,3.3721168,18.333462
1931,2018,1.2427969,3.1667874,.6250177,-.95582807,64.593552,60.173779,2.955929,1.6773192,-.10040998,-1.115,0,.57581729,13.083965,.0049209595,-4.6915226,52.675999,-9.8976564,68.941872,66.623825,-.19125901,18.326439
1931,2019,.40125403,.6250177,1.2427969,.78909922,66.623825,58.333088,.43077204,3.1667874,2.955929,.25,0,.57581729,13.083965,.0040054321,-2.198185,52.675999,10.071427,66.289696,70.002922,-4.6915226,18.33136
1931,2020,-.77596736,1.2427969,.40125403,.42526367,70.002922,60.097874,-.95582807,.6250177,.43077204,-.77899998,0,.57581729,13.083965,-.018043518,-1.6923858,52.675999,-3.5600088,56.39204,60.173779,-2.198185,18.335365
1932,2017,-1.1643543,-.99831706,-1.1193125,-1.7578423,52.360275,47.543774,-1.0509272,.053725507,-1.3877095,1.04,0,.58193445,11.488321,-.0092334747,.76205385,52.616001,4.3989096,59.164829,63.732029,-.92775297,19.690796
1932,2018,-.67135894,-1.1193125,-1.1643543,-.64999628,63.732029,49.395004,-1.6461914,-.99831706,-1.0509272,-.94400001,0,.58193445,11.488321,.0049552917,.55959541,52.616001,-3.005842,51.357189,51.784454,.76205385,19.681562
1932,2019,-1.035166,-1.1643543,-.67135894,-.96243799,51.784454,46.598549,-1.7578423,-1.1193125,-1.6461914,.28200001,0,.58193445,11.488321,.014959335,-2.5998402,52.616001,4.081377,55.7561,47.543774,.55959541,19.686518
1932,2020,-.62773132,-.67135894,-1.035166,-.35939702,47.543774,52.874489,-.64999628,-1.1643543,-1.7578423,-.78399998,0,.58193445,11.488321,-.0027008057,-2.8757086,52.616001,1.9363483,52.750256,49.395004,-2.5998402,19.701477
1933,2017,-.36275208,-.33011541,.23619623,-.60296661,51.073917,57.137653,-1.9757727,-1.9530756,-1.1436092,.49599999,0,.53838068,14.715565,-.0059776306,-.25926507,52.424168,3.4877872,56.234592,56.625977,-16.531799,21.054726
1933,2018,1.1107671,.23619623,-.36275208,-.81982815,56.625977,55.427147,.33602214,-.33011541,-1.9757727,-1.131,0,.53838068,14.715565,.010065079,-.18703203,52.424168,-7.7116957,58.857098,56.12677,-.25926507,21.048748
1933,2019,.34333619,-.36275208,1.1107671,.04286195,56.12677,54.207157,-.60296661,.23619623,.33602214,.69999999,0,.53838068,14.715565,.0034332275,-11.678236,52.424168,4.6670775,62.344883,57.137653,-.18703203,21.058813
1933,2020,-.06222225,1.1107671,.34333619,.28637788,57.137653,60.261303,-.81982815,-.36275208,-.60296661,-.65399998,0,.53838068,14.715565,-.010662079,1.908811,52.424168,2.6876676,54.63319,55.427147,-11.678236,21.062246
