ID;Time;unempl_rate;ex_deaths;sh_susp;inc_pc;cigs;sh_pop_per;sh_short_term_contracts;dep_ratio;terf2020;avg_download_speed_dic2018;share_households_nointernet;share_ind_upto10k_2019;share_ind_above75k_2019;pop_2019;share_unigraduates_3034;avg_price_house_2019;share_amount_upto26k_2019;exp_games_pc_2019;dummy_sll_b_turistico;gini_index2019
1644;2020;0.1469;-6.8954005;0.27743474;10305.981;0.000165085;0;0.46918008;0.52345228;-3.4718313;132.55809;0.012250094;0.49204665;0.005773536;27954;17.125;758.33331;0.66623998;975.95239;0;0.41245547
1701;2020;0.063299999;1.519998;0.37988576;14682.135;0.000352071;1;0.19648494;0.55079103;-0.055248145;58.267143;0.24209744;0.35905972;0.008323245;28396;33.712856;637.59723;0.55336553;1012.8044;0;0.38968641
1702;2020;0.076099999;-19.860121;0.42600802;14031.038;0;0.30899876;0.22628362;0.57825333;-0.25231972;75.518372;0.23898084;0.41703585;0.012686267;7117;29.325001;1082.6202;0.53015476;1255.4786;0;0.43666723
1703;2020;0.096899994;1.7322954;0.37463436;13700.949;0.000553447;0.88322639;0.22377476;0.55309898;-1.2346764;93.10936;0.17230292;0.41127273;0.007918501;33910;28.24;599.53204;0.55730534;834.76038;0;0.42595142
1704;2020;0.10640001;0.31793252;0.61662132;13807.507;0.00042494;0.788064;0.20694046;0.50767875;-1.0659819;81.957878;0.040493235;0.38177684;0.006695648;61839;19.362309;680.08014;0.61604798;1178.3254;0;0.39798892
1705;2020;0.1141;-0.80644542;0.34632334;16052.866;0.001147311;0.24420027;0.15173218;0.53161263;-0.81699586;107.74047;0.17999077;0.35266396;0.0141181;157091;27.769375;667.97394;0.50848657;1387.4155;0;0.41928136
1706;2020;0.1167;7.5034909;0.49277484;14120.573;0.000226706;1;0.18805167;0.51452756;-0.7611835;102.19431;0.14734787;0.37406057;0.006604418;25818;23.211666;656.72223;0.59458655;894.31207;0;0.39086875
1707;2020;0.083800003;-10.077374;0.37112033;11716.264;0;1;0.26450014;0.56263626;-1.622394;53.796154;0.12243889;0.43510729;0.004726345;15431;25.292;576.33331;0.66197175;1165.5338;0;0.40692383
1708;2020;0.11390001;14.514901;0.40737954;11412.513;0;1;0.28362262;0.56149268;-0.78409207;76.003387;0.11765946;0.44315436;0.005766383;19321;27.465;565.03845;0.66740364;1036.5452;0;0.39585519
1709;2020;0.1022;-6.2397285;0.4149335;16867.307;0.001737381;0.2162085;0.16551375;0.54557174;-0.31948265;198.87556;0.039996911;0.34158981;0.015070838;94265;24.172501;792.47919;0.48293352;1443.998;0;0.42743754
1710;2020;0.1075;-19.899166;0.44864213;11039.578;0;1;0.32941625;0.52905232;0.52152431;68.544861;0.095988266;0.45876458;0.004575662;13533;26.594;583.83331;0.65628272;915.79846;0;0.40464672
1711;2020;0.1233;4.3218942;0.39786929;12783.302;0.001147194;1;0.28393239;0.53409034;-2.4574778;77.390205;0.070346624;0.43737605;0.006471141;29579;19.586666;825.83331;0.58771497;1504.5129;0;0.43236023
1712;2020;0.1261;-3.8208559;0.38461539;12158.428;0.000158261;1;0.32707489;0.49137548;-0.2965897;82.710091;0.093523063;0.4541789;0.007875499;39573;27.368334;695.97223;0.59748858;1073.8965;0;0.43048599
1713;2020;0.10479999;-7.6496372;0.39821655;11344.981;0.000275103;1;0.29128492;0.62589008;-2.0218761;67.118996;0.12421992;0.418751;0.003550105;8568;18.908333;508.75;0.70817065;849.04492;0;0.38055697
1714;2020;0.11189999;-33.00861;0.37978855;12899.128;0;1;0.19171154;0.56712294;-0.87620163;66.892822;0.076202303;0.39334536;0.003611039;11611;29.715;588.125;0.63839769;821.02045;0;0.38655272
1801;2020;0.18700001;2.6515996;0.43923604;11602.074;0;0.87885106;0.33216029;0.55409241;-1.8916385;48.64101;0.13017824;0.46019834;0.004824444;22697;27.17;621.875;0.63491511;909.26178;0;0.40516463
1802;2020;0.21209998;4.8548889;0.46982622;11426.46;0.0001221;0.44550124;0.18467127;0.54127419;-0.15337078;47.170513;0.22165398;0.48493183;0.005321694;27121;24.395555;672.08331;0.60391718;1076.0979;0;0.43511546
1803;2020;0.19469999;3.5697179;0.44112083;11589.37;0.000272926;1;0.1747836;0.58559471;-0.98894095;50.626438;0.12180588;0.48347139;0.009195227;21585;25.225;947.5;0.58804077;1511.9884;0;0.43514431
1804;2020;0.21040002;8.1184464;0.44947287;9740.2783;0;1;0.44040674;0.59636396;-0.8029967;79.135506;0.03508186;0.52872533;0.004039497;17185;23.3675;608.28125;0.6676209;1277.6837;0;0.40441859
1805;2020;0.16249999;10.112169;0.4686864;10655.413;0.000105097;0.22808255;0.32582012;0.56336254;-0.82147533;64.872833;0.098627649;0.49687207;0.005899323;47984;27.202143;596.69641;0.64594698;1326.6172;0;0.42367521
1806;2020;0.16780001;-3.2433972;0.38200292;11593.942;0.000475624;0.038894422;0.31797728;0.5539791;-0.44677767;65.243042;0.070392273;0.45777205;0.006213229;58807;25.692142;550.17859;0.62527019;1406.6201;0;0.41302767
1807;2020;0.2658;-15.860265;0.48697683;11906.666;0.000316256;1;0.19988185;0.57930958;0.39056367;53.702488;0.15875009;0.4653725;0.007082896;13241;25.643333;847.91669;0.60393047;1520.1582;0;0.4264881
