ID,Time,unempl_rate,excess_deaths,sh_susp_activ,income_pc,share_firms_stws,sh_pop_per,sh_short_term_contracts,dep_ratio,avg_download_speed,share_households_nointernet,pop,share_unigraduates_3034,avg_price_house,share_amount_upto26k,exp_games_pc,dummy_llm_tourism,gini_index
506,2020,.060300004,11.787753,.56072056,21520.688,.000465116,0,.19093062,.54484767,57.177464,.031515568,41471,21.928333,1558.8245,.40409669,815.94446,0,.44087231
507,2020,.050999999,2.2094667,.52831614,18940.699,.00093830598,0,.1418204,.53802443,41.848755,.034671895,145112,20.737309,894.65143,.49265224,432.82831,0,.38859841
508,2020,.052099999,5.7288699,.38676783,22903.619,.001039731,.034134381,.15083201,.57331204,216.95883,.020390069,471942,26.040001,1175.049,.37407351,688.36993,0,.43406445
509,2020,.047499999,5.3640447,.45108396,20264.92,.0013109091,0,.15414825,.52160871,73.161209,.039586678,93090,22.381428,1077.0238,.45148483,630.61218,0,.38247052
510,2020,.0471,7.7515688,.59225798,21967.348,.001727785,0,.11351655,.52648968,55.230869,.055913039,98540,18.053333,1211.3334,.43659189,569.44171,0,.38226753
511,2020,.058800001,18.670933,.55609626,17408.594,.00039416601,.75493282,.10304631,.58733863,19.547878,.12653622,19108,20.569166,1457.9166,.51487803,704.57715,1,.4041622
512,2020,.052800003,6.2426419,.59756231,21059.314,.001144625,.0085060187,.11590717,.54982358,41.205769,.058442488,188657,24.073637,1149.1808,.44665205,574.75983,0,.40629506
513,2020,.0458,7.616076,.60708278,19030.742,.00155287,0,.12260114,.54026169,17.309568,.071642652,47060,18.754286,1140.1488,.51291412,411.64459,0,.36859757
514,2020,.07,5.8649077,.62007093,21545.818,.001558562,0,.11419573,.57324791,49.696068,.065877967,104233,20.792778,1193.7034,.44578287,576.85986,0,.37457374
515,2020,.067400001,6.4796443,.59215289,21827.961,.0022480791,0,.10694895,.55630529,40.394642,.023144346,88849,24.116667,1231.9222,.4383572,549.8233,0,.3906838
516,2020,.060300004,-2.3397503,.63842863,21601.986,.0014156461,0,.11953973,.58892995,39.827419,.047063541,62516,21.040001,1196.875,.47026739,454.45389,0,.35804942
517,2020,.051799998,-5.6347718,.50324857,22833.957,.0015515659,0,.12052961,.5532316,85.477997,.021533867,265138,25.43174,1223.4521,.39024302,697.12152,0,.40898487
518,2020,.036600001,1.623922,.27134356,20767.695,.00046349899,.60990435,.12822203,.6106227,28.67461,.040978529,17605,19.2425,1114.7916,.47016171,612.07367,0,.34756529
519,2020,.060300004,.4702906,.48653719,18276.705,.00048899802,.68116808,.15434916,.64187288,12.629234,.013998558,11571,19.382856,1269.6428,.53005701,589.57764,1,.37706989
