"","X2020.Node_9","X2020.Node_8","X2020.Node_5","X2020.Node_4","X2020.Node_6"
"cate",-0.55641775927038,-0.756163272293976,-0.860365286253883,-1.2222560609041,-0.65858815900783
"var.cate",0.00160288913085371,0.00348461235364067,0.00875458632195305,0.0188573794141689,0.0108566297149988
"cate.lower.2.5%",-0.624629899183602,-0.860572948781106,-1.04218606187916,-1.50574471514498,-0.826337108610381
"cate.upper.97.5%",-0.48374236752562,-0.656333237965635,-0.669399354454823,-0.962123607802521,-0.474714243683495
